section_name,n_tasks
PM Time Tracking,162
Design,123
Pre-Production,104
Post-Production,84
Analysis,81
Post-Production / Design Development,67
Untitled section,59
Design Development,52
Post-Project Evaluation,52
Production,46
Launch / Post-Launch,20
Video 2 - Lessons From the Saints,12
To do,11
Design - Course Design & Development,11
Media - Pre-production,10
Video 1: Safety Walkthrough,10
Video 2: Bandsaw,10
Video 3: Drill Press,10
Video 4:  Belt & Disc Sander,10
Video 5: Scheduling,10
Video 6: Hand & Power Tools,10
3B Revamp,10
Post Production,9
Content Redesign,9
Design Ratio and Proportion,7
PM Time Tracking: Lawrence,7
Development Before Playtesting,6
Summer Online Prep,6
Delivery,6
Media Timetracking,6
Design Leadership II,5
Media - Graphics,5
Memory Palace: Interscene Environment,5
"Lesson 1: Terps, Quays, and Green Open Spaces",5
Lesson 2: Energy Efficient Design and Construction,5
Lesson 3: Sustainable Building Material,5
Lesson 4: Efficient and Renewable Energy Supply ,5
Lesson 5: Low Carbon Transportation / Diverse Mobility Methods,5
Finished / Summer Tasks,5
Final Development items (Spring),5
Course Map,5
Development,5
Pre-Production Ratio and Proportion,4
Post-Production Ratio and Proportion,4
Pre-Production Leadership II,4
Post-Production Leadership II,4
Media - Post-production,4
Benchmarking,4
Workshops,4
Courses Begin,4
Usability Testing,4
Design - Interactives,3
Media - Production,3
Media Pre-Production,3
Post Evaluation,3
Production Ratio and Proportion,2
Production Leadership II,2
Template instructions,2
To-Do,2
Testing w/students around fall break,2
Regroup,2
Coursera Site,2
In Production,1
In Review,1
Approved,1
Working on,1
Consutlation,1
