section,deliverable,est_hours,pre,prod,post
Animation & Graphic Design,3 Minute style Animation using new technique,120.0,,,
Animation & Graphic Design,3 minute Explainer style Animation,100.0,,,
Animation & Graphic Design,10 Page Look Book,80.0,,,
Animation & Graphic Design,3 Minute Explainer style Animation Reusing assets,43.0,,,
Animation & Graphic Design,Event Branding with Assets,35.0,,,
Animation & Graphic Design,Title Card and Lower Thirds,30.0,,,
Animation & Graphic Design,Logo,20.0,,,
Animation & Graphic Design,One Spectrum X graphic,6.0,,,
Animation & Graphic Design,Infographic,4.0,,,
Animation & Graphic Design,Poster with ODL Branding,4.0,,,
Animation & Graphic Design,Simple compositing/VFX for one scene,2.0,,,
Design,Finalize LMS,5.0,,,
Design,QA Process,5.0,,,
Design,Post-project evaluation,3.0,,,
Design,Resource Allocation,2.0,,,
Design,Faculty Handbook/handoff documentation,2.0,,,
Design,Improvement plan,2.0,,,
Design,Complete Design Doc,2.0,,,
Traditional Media Totals (per 1 video),Mini-doc (General Max),70.0,10.00,40.00,40.00
Traditional Media Totals (per 1 video),Location Interview (General Max),41.0,7.00,4.00,30.00
Traditional Media Totals (per 1 video),Studio Interview (General Max),34.0,3.00,1.00,30.00
Traditional Media Totals (per 1 video),Location Lecture (General Max),15.0,8.00,3.00,4.00
Traditional Media Totals (per 1 video),Studio Lecture,8.5,4.00,0.50,4.00
Traditional Media Totals (per 1 video),Lightboard,8.5,4.00,0.50,4.00
Traditional Media Totals (per 1 video),Screencast,4.0,1.00,0.50,3.00
Untitled section,Multi-path XR / 360 editing,80.0,,,
Untitled section,Linear Story-based XR / 360 editing,40.0,,,
Untitled section,Non-scripted Video editing (General Max),30.0,,,
Untitled section,Testimonial Video editing (General Max),30.0,,,
Untitled section,Intro Video editing,10.0,,,
Untitled section,Lightboard Video editing,4.0,,,
Untitled section,Lecture Video editing,4.0,,,
Untitled section,Location Scouting (General Max),4.0,,,
Untitled section,Standard Screencast editing (3-5 minutes),3.0,,,
Untitled section,Off-Site / On-Location filming (not including travel),3.0,,,
Untitled section,Studio Prep,2.0,,,
Untitled section,Scripting (1 Script),2.0,,,
Untitled section,XR / 360 filming,1.0,,,
Untitled section,Studio Testimonial filming,1.0,,,
Untitled section,Studio Intro filming,1.0,,,
Untitled section,Studio Lightboard filming,1.0,,,
Untitled section,Studio Lecture filming,0.75,,,
